Rank,feature,importance
1,XLK_return_1d,0.62894654
2,XLY_return_1d,0.6175165
3,XLE_return_1d,0.586048
4,XLF_return_1d,0.57479167
5,XLV_return_3d,0.56626534
6,XLE_return_3d,0.56213665
7,XLI_return_1d,0.5391965
8,XLV_return_1d,0.5328244
9,XLY_return_3d,0.5312998
10,XLF_return_3d,0.5118073
11,XLI_return_3d,0.5071367
12,XLK_return_3d,0.45248026
13,return_60d,0.43178388
14,volatility_60,0.40207002
15,return_10d,0.36684716
16,spy_return_1d,0.3640871
17,volatility_20,0.3453522
18,return_5d,0.33295184
19,dist_from_52w_high,0.30959257
20,spy_return_3d,0.30492467
21,ma_ratio_10,0.29183653
22,ma_ratio_10_20,0.28785005
23,volatility_3,0.2868253
24,close_open_ratio,0.27389702
25,rank_return_20d,0.27373198
26,volume_ratio_20,0.26002157
27,return_20d,0.25988486
28,momentum_accelaration,0.2529047
29,rank_return_60d,0.24842179
30,volume_ratio_10,0.2388617
31,ma_ratio_5,0.2370214
32,rank_volatility_60d,0.207731
33,ma_ratio_5_20,0.207668
34,volume_ratio_30,0.20719199
35,relative_strength_1d,0.20128529
36,return_1d,0.19943188
37,rank_return_10d,0.19844784
38,high_low_range,0.19677049
39,rsi,0.1940009
40,relative_strength_3d,0.17716065
41,rank_return_5d,0.17672458
42,return_3d,0.16306406
43,ma_ratio_20,0.16246659
44,rank_volatility_3d,0.16145056
45,minimomentum_accelaration,0.15939327
46,rank_return_3d,0.15653259
47,rank_volatility_20d,0.15011422
48,rank_return_1d,0.123631
49,High,0.113815606
50,ma_10,0.109741904
51,ma_5,0.10511994
52,rank_return_30d,0.1046071
53,Open,0.104291946
54,macd,0.10371424
55,Low,0.09521078
56,ma_20,0.093381785
57,Volume,0.092613965
58,Close,0.08824693
