Rank,feature,importance
1,XLE_return_1d,0.26432896
2,XLE_return_3d,0.25418383
3,XLV_return_3d,0.23678471
4,XLY_return_1d,0.23168641
5,XLF_return_1d,0.22338286
6,XLF_return_3d,0.21727349
7,XLI_return_1d,0.21524271
8,XLV_return_1d,0.20571947
9,XLK_return_1d,0.19030489
10,XLY_return_3d,0.18413362
11,dist_from_52w_high,0.17937136
12,return_60d,0.17454682
13,volatility_20,0.17142132
14,volatility_60,0.16765222
15,return_5d,0.16761136
16,close_open_ratio,0.1646115
17,XLK_return_3d,0.1607561
18,spy_return_1d,0.1541992
19,return_20d,0.15156189
20,return_10d,0.14515927
21,XLI_return_3d,0.14238076
22,rank_return_20d,0.1416229
23,volatility_3,0.14103961
24,rsi,0.1405549
25,momentum_accelaration,0.13395739
26,volume_ratio_20,0.1316861
27,ma_ratio_10,0.13149363
28,return_1d,0.12621197
29,spy_return_3d,0.124020614
30,minimomentum_accelaration,0.12324621
31,Low,0.12263125
32,high_low_range,0.12209499
33,ma_ratio_5,0.12025061
34,volume_ratio_30,0.11891167
35,volume_ratio_10,0.1189116
36,rank_return_60d,0.1181618
37,rank_return_30d,0.11310615
38,rank_return_3d,0.11280137
39,return_3d,0.111888394
40,rank_return_1d,0.11119177
41,rank_volatility_20d,0.110954255
42,ma_ratio_20,0.10951005
43,relative_strength_3d,0.10893879
44,rank_volatility_3d,0.10771766
45,rank_return_10d,0.102861315
46,rank_volatility_60d,0.101883516
47,ma_ratio_5_20,0.10153742
48,relative_strength_1d,0.09978518
49,Open,0.09792343
50,ma_ratio_10_20,0.09775689
51,rank_return_5d,0.09766101
52,macd,0.095677584
53,Volume,0.095501855
54,ma_20,0.09476627
55,Close,0.09195052
56,High,0.089022495
57,ma_10,0.08722992
58,ma_5,0.08536428
