Rank,feature,importance
1,XLE_return_1d,0.43419302
2,XLI_return_1d,0.41241887
3,XLV_return_1d,0.40434107
4,XLE_return_3d,0.40408352
5,XLY_return_1d,0.4035868
6,XLV_return_3d,0.40353978
7,XLF_return_1d,0.4008459
8,XLY_return_3d,0.371107
9,XLF_return_3d,0.36430788
10,XLK_return_1d,0.336299
11,XLK_return_3d,0.30236435
12,XLI_return_3d,0.26039314
13,spy_return_1d,0.2496862
14,volatility_20,0.23006174
15,return_10d,0.22983217
16,return_5d,0.22704299
17,close_open_ratio,0.2215502
18,return_60d,0.21888566
19,rank_return_20d,0.21721399
20,volatility_60,0.21088092
21,momentum_accelaration,0.20922692
22,ma_ratio_10,0.20390189
23,spy_return_3d,0.19548376
24,dist_from_52w_high,0.19500679
25,return_20d,0.19243889
26,rsi,0.18356498
27,ma_ratio_5,0.17729318
28,ma_ratio_10_20,0.16721123
29,volatility_3,0.16659722
30,volume_ratio_20,0.16434525
31,volume_ratio_30,0.15955086
32,volume_ratio_10,0.15440081
33,relative_strength_3d,0.15420184
34,rank_return_60d,0.15412828
35,rank_return_5d,0.15287387
36,high_low_range,0.14927858
37,return_1d,0.14904454
38,ma_ratio_5_20,0.14670777
39,relative_strength_1d,0.1413481
40,ma_ratio_20,0.1360454
41,rank_return_10d,0.13167502
42,rank_volatility_20d,0.12561756
43,return_3d,0.11794437
44,rank_return_3d,0.11502652
45,rank_volatility_60d,0.1089192
46,rank_return_1d,0.10603225
47,Low,0.1056751
48,minimomentum_accelaration,0.10541793
49,ma_20,0.10442572
50,rank_volatility_3d,0.103390485
51,macd,0.10042485
52,ma_10,0.100320704
53,ma_5,0.098296195
54,Volume,0.098019734
55,Close,0.09298079
56,Open,0.09277466
57,High,0.091213495
58,rank_return_30d,0.08524199
